player,runs,balls,fours,sixes,strikeRate,opposition,venue,year,foreign
Jitesh Sharma,40,19,2,4,210.52,v MI,Wankhede,2025,false
Virat Kohli,42,20,6,2,210,v SRH,Bengaluru,2024,false
Rahul Dravid,75,36,6,6,208.33,v RR,Jaipur,2008,false
LRPL Taylor,25,12,1,3,208.33,v Daredevils,Johannesburg,2009,false
Faf du Plessis,25,12,3,1,208.33,v SRH,Hyderabad,2024,false
MC Henriques,27,13,4,1,207.69,v Warriors,Pune,2013,false
Virat Kohli,27,13,1,3,207.69,v DC,Bengaluru,2024,false
Rajat Patidar,27,13,1,3,207.69,v LSG,Bengaluru,2026,false
Rajat Patidar,112,54,12,7,207.4,v LSG,Eden Gardens,2022,false
Phil Salt,56,27,6,3,207.4,v Punjab Kings,New Chandigarh,2025,false
Chris Gayle,128,62,7,13,206.45,v Daredevils,Delhi,2012,false
Glenn Maxwell,68,33,8,4,206.06,v MI,Wankhede,2023,false
Mandeep Singh,37,18,4,2,205.55,v KKR,Eden Gardens,2018,false
Chris Gayle,117,57,7,12,205.26,v Kings XI,Bengaluru,2015,false
MV Boucher,39,19,4,2,205.26,v MI,Wankhede,2008,false
