player,season,matches,innings,notOuts,runs,highScore,average,balls,strikeRate,hundreds,fifties,ducks,fours,sixes,foreign,series
AB de Villiers,2011,16,13,4,312,65,34.66,243,128.39,0,2,2,21,14,false,"Indian Premier League (in India), 2011"
Rajat Patidar,2025,15,14,1,312,64,24,217,143.77,0,2,0,25,14,false,"Indian Premier League (in India), 2025"
Virat Kohli,2017,10,10,0,308,64,30.8,252,122.22,0,4,1,23,11,false,"Indian Premier League (in India), 2017"
Virat Kohli,2009,16,13,2,307,58,27.9,212,144.81,0,1,0,26,12,false,"Indian Premier League (in India), 2009/10"
Glenn Maxwell,2022,13,13,2,301,55,27.36,178,169.1,0,1,1,31,15,false,"Indian Premier League (in India), 2022"
TM Dilshan,2012,10,9,1,285,76*,35.62,261,109.19,0,3,0,33,5,false,"Indian Premier League (in India), 2012"
LRPL Taylor,2009,11,11,2,280,81*,31.11,208,134.61,0,1,1,20,15,false,"Indian Premier League (in South Africa), 2009"
Rahul Dravid,2009,13,12,0,271,66,22.58,234,115.81,0,1,1,28,3,false,"Indian Premier League (in South Africa), 2009"
AJ Finch,2020,12,12,0,268,52,22.33,241,111.2,0,1,0,28,8,false,"Indian Premier League (in United Arab Emirates), 2020/21"
KM Jadhav,2017,13,13,1,267,69,22.25,186,143.54,0,1,0,25,10,false,"Indian Premier League (in India), 2017"
Jitesh Sharma,2025,15,11,4,261,85*,37.28,148,176.35,0,1,0,24,17,false,"Indian Premier League (in India), 2025"
Chris Gayle,2011,6,6,0,257,92,42.83,144,178.47,0,2,0,15,24,false,"Nokia Champions League T20 (in India), 2011/12"
Rahul Dravid,2009,16,11,2,256,52,28.44,199,128.64,0,1,0,34,3,false,"Indian Premier League (in India), 2009/10"
C Green,2024,13,12,4,255,46,31.87,178,143.25,0,0,0,22,10,false,"Indian Premier League (in India), 2024"
Mandeep Singh,2018,14,13,3,252,47*,25.2,186,135.48,0,0,0,16,11,false,"Indian Premier League (in India), 2018"
MK Pandey,2009,13,13,1,249,42*,20.75,226,110.17,0,0,2,27,7,false,"Indian Premier League (in India), 2009/10"
Devdutt Padikkal,2025,10,10,1,247,61,27.44,164,150.6,0,2,1,21,14,false,"Indian Premier League (in India), 2025"
Virat Kohli,2009,16,13,2,246,50,22.36,219,112.32,0,1,0,22,8,false,"Indian Premier League (in South Africa), 2009"
Kevin Pietersen,2009,7,7,3,236,66*,59,157,150.31,0,2,0,23,8,false,"Indian Premier League (in India), 2009/10"
