player,runs,notOut,minutes,balls,fours,sixes,strikeRate,opposition,venue,innings,year,foreign
AB de Villiers,75,true,49,42,3,5,178.57,v DC,Ahmedabad,1,2021,false
Virat Kohli,75,false,73,51,7,3,147.05,v SRH,Bengaluru,1,2016,false
AB de Villiers,75,false,86,51,6,4,147.05,v MI,Wankhede,1,2019,false
SO Hetmyer,75,false,81,47,4,6,159.57,v SRH,Bengaluru,2,2019,false
TM Dilshan,74,false,,47,9,2,157.44,v South Aust,Bengaluru,2,2011,false
Devdutt Padikkal,74,false,,45,12,1,164.44,v MI,Abu Dhabi,1,2020,false
Jacques Kallis,73,true,,59,4,2,123.72,v Otago,Bengaluru,1,2009,false
Virat Kohli,73,true,84,53,9,1,137.73,v Daredevils,Delhi,1,2012,false
AB de Villiers,73,true,,33,5,6,221.21,v KKR,Sharjah,1,2020,false
Faf du Plessis,73,true,109,50,8,2,146,v SRH,Wankhede,1,2022,false
Virat Kohli,73,true,81,54,7,1,135.18,v Punjab Kings,New Chandigarh,2,2025,false
Krunal Pandya,73,true,75,47,5,4,155.31,v DC,Delhi,2,2025,false
Virat Kohli,73,false,62,49,2,5,148.97,v CSK,Bengaluru,1,2014,false
Chris Gayle,73,false,,32,4,8,228.12,v Kings XI,Bengaluru,1,2016,false
Virat Kohli,73,false,81,54,8,2,135.18,v GT,Wankhede,2,2022,false
Faf du Plessis,73,false,66,43,5,6,169.76,v MI,Bengaluru,2,2023,false
AB de Villiers,72,true,,37,4,6,194.59,v Daredevils,Delhi,2,2018,false
Virat Kohli,72,true,,53,7,2,135.84,v RR,Abu Dhabi,2,2020,false
Virat Kohli,72,true,74,47,6,3,153.19,v RR,Wankhede,2,2021,false
Rahul Dravid,71,true,91,58,8,0,122.41,v MI,Durban,2,2010,false
Virat Kohli,71,false,,51,5,3,139.21,v Chargers,Hyderabad,2,2011,false
Chris Gayle,71,false,65,42,6,4,169.04,v Kings XI,Bengaluru,1,2012,false
TM Dilshan,71,false,77,54,8,2,131.48,v Chargers,Bengaluru,2,2012,false
Faf du Plessis,71,false,86,47,7,2,151.06,v SRH,Hyderabad,2,2023,false
Chris Gayle,70,true,,44,6,4,159.09,v RR,Jaipur,2,2011,false
Virat Kohli,70,true,,44,5,3,159.09,v CSK,Wankhede,1,2011,false
AB de Villiers,70,true,,41,4,6,170.73,v MI,Bengaluru,2,2019,false
