player,season,matches,balls,overs,maidens,innings,runs,wickets,best,average,economy,strikeRate,foreign,series
V Vyshak,2023,7,144,24,0,7,253,9,3/20,28.11,10.54,16,false,"Indian Premier League (in India), 2023"
LH Ferguson,2024,7,144,24,0,7,255,9,2/23,28.33,10.62,16,false,"Indian Premier League (in India), 2024"
Wanindu Hasaranga,2023,8,174,29,0,8,258,9,2/24,28.66,8.89,19.33,false,"Indian Premier League (in India), 2023"
Josh Hazlewood,2026,7,165,27.3,0,7,259,9,4/12,28.77,9.41,18.33,false,"Indian Premier League (in India), 2026"
KA Jamieson,2021,9,168,28,0,9,269,9,3/41,29.88,9.6,18.66,false,"Indian Premier League (in India/United Arab Emirates), 2021"
Vinay Kumar,2009,11,194,32.2,0,11,271,9,2/30,30.11,8.38,21.55,false,"Indian Premier League (in South Africa), 2009"
M Kartik,2013,11,234,39,0,11,284,9,2/24,31.55,7.28,26,false,"Indian Premier League (in India), 2013"
Harshal Patel,2012,12,246,41,0,11,340,9,2/24,37.77,8.29,27.33,false,"Indian Premier League (in India), 2012"
Mohammed Siraj,2022,15,306,51,0,15,514,9,2/30,57.11,10.07,34,false,"Indian Premier League (in India), 2022"
Sreenath Aravind,2015,5,108,18,0,5,132,8,4/27,16.5,7.33,13.5,false,"Pepsi Indian Premier League (in India), 2015"
CR Woakes,2018,5,110,18.2,0,5,190,8,3/36,23.75,10.36,13.75,false,"Indian Premier League (in India), 2018"
Chris Gayle,2011,12,216,36,0,12,244,8,3/21,30.5,6.77,27,false,"Indian Premier League (in India), 2011"
I Udana,2020,10,174,29,0,10,282,8,2/41,35.25,9.72,21.75,false,"Indian Premier League (in United Arab Emirates), 2020/21"
Washington Sundar,2020,15,300,50,1,15,298,8,2/16,37.25,5.96,37.5,false,"Indian Premier League (in United Arab Emirates), 2020/21"
UT Yadav,2019,11,227,37.5,0,11,371,8,3/36,46.37,9.8,28.37,false,"Indian Premier League (in India), 2019"
Suyash Sharma,2025,14,300,50,0,14,442,8,3/17,55.25,8.84,37.5,false,"Indian Premier League (in India), 2025"
Shahbaz Ahmed,2021,11,84,14,0,6,92,7,3/7,13.14,6.57,12,false,"Indian Premier League (in India/United Arab Emirates), 2021"
KW Richardson,2016,4,84,14,0,4,136,7,3/13,19.42,9.71,12,false,"Indian Premier League (in India), 2016"
Daniel Vettori,2011,6,138,23,0,6,161,7,2/25,23,7,19.71,false,"Nokia Champions League T20 (in India), 2011/12"
MC Henriques,2013,10,127,21.1,0,8,185,7,2/14,26.42,8.74,18.14,false,"Indian Premier League (in India), 2013"
Rasikh Salam,2026,6,119,19.5,0,6,189,7,4/24,27,9.52,17,false,"Indian Premier League (in India), 2026"
